Cleaned_Text,Language
other times everything seems fine until i discover some weird side effect like the time claude tried to fix performance issues on my machine and somehow shut down important services see the video,English
most of the time debugging these runs just means scrolling through logs or transcripts and trying to reconstruct what actually happened,English
as the first use case we built a hookbased integration with claude code but the goal is to make it work with any agent you can think of,English
right now im mostly curious how others deal with this problem,English
on paper the frameworks look impressive there are strategies committees task forces and maybe even a powerpoint somewhere with arrows and flowcharts,English
in real life the system often runs on vibes and the hope that the weather might change its mind,English
after last weekends deaths and destruction caused by previously predicted rains in nairobi its painfully obvious that this unpreparedness strategy is not working,English
our disaster response model often seems to follow a fourstep process,English
wait for disaster act surprised blame the victims hold a press conference promising to do better next time,English
until and unless we change how we do things we can expect the same story to repeat every time,English
from my time there i remember that when bad weather was predicted cape towns disaster management teams would swing into action before the chaos began,English
they would clear storm drains and rivers distribute sandbags in floodprone areas warn residents in informal settlements and advise them on digging diversion trenches and trim trees to prevent storm damage,English
a truly revolutionary concept just imagine if we tried it,English
but first a quick disclaimer anyone who knows me will tell you i am not what youd call a fitness influencer my exercise routine is simple i walk every day,English
over the years i have attempted jogging several times but the older i got the more my body began quoting a lyric from englishman in new york by sting released in,English
also my knees are basically two expired shock absorbers from a toyota,English
in theory i suppose i could get into cycling in practice the entry requirement appears to be a very expensive bicycle and a wardrobe made entirely of tight lycra,English
i may have reached the age where i shouldnt care what people think but im vain so i do care the body i currently inhabit is not exactly what the cycling industry had in mind when they invented those outfits,English
last week he walked into the provincial legislature wearing his full cycling kit by this i mean loud brightly coloured cycling shorts jersey glowing pink socks and because rules are rules a formal suit jacket on top,English
this happened right as the provincial finance minister was about to present the municipal economic review and outlook,English
in a statement released by the hospital on thursday doctors said the opposition leader collapsed during a morning walk at around am,English
the hospital said mr odinga had been under treatment for diabetes hypertension and chronic kidney disease,English
a postmortem examination is set to be conducted as part of routine medical and legal procedures,English
according to mathrubhumicom an indian media outlet raila was at the ayurvedic centre for rest and recovery following a mild stroke he suffered while in kenya,English
a spokesperson for the hospital confirmed that he had been receiving regular care and was in the company of his family at the time,English
the same hospital had previously treated his daughter rosemary odinga who regained her sight there after losing vision several years ago,English
before his passing railas health had been the subject of public speculation,English
his elder brother senator oburu odinga had recently assured kenyans that raila was recuperating well in india and dismissed reports that he was in critical condition,English
i want to tell you that raila is up and about just like any other human being he was indisposed a little and is now recuperating and resting oburu said last week,English
despite occasional hospital visits including brain fluid drainage surgery in dubai and minor back surgery years ago,English
as tributes pour in from across the world raila odinga is being remembered as a symbol of resistance reform and democracy,English
public servants will soon be allowed to use the statebacked loans to buy commercial vehicles and motorcycles in proposed national treasury reforms,English
the new plan aims at improving loan uptake for the struggling state motor car loan scheme fund,English
appearing before the committee on delegated legislation chaired by samuel chepkonga mbadi said the reforms are designed to make the facility attractive and accessible to more public servants,English
the changes will be done through amendments to the state officers and public officers motor car loan scheme fund regulations of,English
the low uptake of motor car loans remains a major concern and impediment to the delivery of the objective of the fund mbadi told the committee,English
the low absorption of loans threatens the very existence of the fund which was established to enable state officers and public officers to access affordable credit for the purchase of motor vehicles and raises concerns about its sustainability mbadi said,English
treasury says a review of the scheme identified several regulatory provisions that may have discouraged potential borrowers,English
currently the regulations prohibit beneficiaries from using vehicles acquired under the scheme for commercial purposes,English
the amendment proposes to remove this restriction allowing officers to use the vehicles for incomegenerating activities,English
the proposed regulations also seek to increase the allowable age of secondhand vehicles purchased through the scheme from eight years to ten years from the date of manufacture,English
treasury argues that the change will give borrowers access to a wider range of vehicles at more affordable prices,English
the expansion of eligible vehicles to include motorcycles was particularly supported in areas where motorcycles are the dominant mode of transport,English
officials cited regions such as lamu where road infrastructure and terrain make motorcycles more practical than conventional cars,English
i have a different perspective on this,English
this is just a simple way of saying you finished the job you had,English
it was nice chatting with you,English
im sorry to cut you off but i actually gotta run,English
would you happen to know,English
ive been wondering that too,English
ive never given it much thought,English
i dont have strong feelings either way,English
it doesnt make any difference to me,English
im not so sure about that,English
im so sorry to hear that,English
let me check my calendar,English
can i get you something to eat,English
im not a huge fan of,English
im between jobs at the moment,English
were getting married in june,English
im not looking for anything serious,English
would you mind repeating that,English
do you understand what im saying,English
could you spare a couple minutes,English
would you like a window seat or an aisle seat,English
i agree with you that sounds like a good idea,English
i see your point but i have a different opinion,English
please forgive me for forgetting your birthday,English
im so sorry for any inconvenience i caused,English
i deeply regret my actions and im genuinely sorry,English
i dont understand this can you explain it to me,English
im stuck on this project can you offer some advice,English
recycling is important to help the environment,English
my brother is my best friend we do everything together,English
i love spending time with my cousins during the holidays,English
i often go fishing with my friends on weekends,English
my hobby is collecting stamps from different countries,English
would you be interested in trying that new restaurant downtown,English
watching english movies with subtitles is helping me improve,English
i want to expand my vocabulary in english any tips for that,English
is it possible to arrange a doctors appointment for next week,English
id like to make a reservation for a table at your restaurant,English
i find it challenging to approach someone im interested in,English
thanks a lot for your help i really appreciate it,English
i want to say thank you for the lovely gift you gave me,English
i wont lie at times ive worried that the resistance wasnt proactive or extreme enough given the circumstances but youve all really given me hope that collective nonviolence can still be the right path forwar,English
the genie says you can determine the rules of the society you are about to enter and you can design anything you want,English
you get to design the social rules the economic rules the governmental rules,English
you dont know whether youre going to be born rich or poor male or female infirm or ablebodied in the united states or afghanistan,English
all you know is that you get to take one ball out of a barrel with billion balls in it and thats you,English
in other words buffett continues youre going to participate in what i call the ovarian lottery,English
and that is the most important thing thats ever going to happen to you in your life its going to determine way more than what school you go to how hard you work all kinds of things,English
when explained in this way it seems hard to deny the importance of luck randomness and good fortune in life,English
and indeed these factors play a critical role but lets consider a second story,English
she read manuals about old folk remedies she searched through ancient texts that were hundreds or thousands of years old,English
she traveled to remote regions in search of plants that might contain a cure,English
this was the most challenging stage of the project she said,English
it was a very laborious and tedious job in particular when you faced one failure after another,English
her team had already been at work for two years but she decided they needed to start again from the beginning,English
the issue was heat if the temperature was too high during the extraction process the active ingredient in the sweet wormwood plant would be destroyed,English
it was a huge breakthrough but the real work was just beginning,English
with a proven medication in hand it was now time for human trials,English
and due to the secrecy of the project going to a facility outside of the country was out of the question,English
in one of the boldest moves in the history of medical science she and two other members of project infected themselves with malaria and received the first doses of their new drug,English
it worked,English
however despite her discovery of a breakthrough medication and her willingness to put her own life on the line,English
she was undeterred tu continued her research eventually learning the chemical structure of the druga compound officially known as artemisininand going on to develop a second antimalarial medication as well,English
today the artemisinin treatment has been administered over billion times to malaria patients it is believed to have saved millions of lives,English
my favorite fact about her is that she has no postgraduate degree no research experience abroad and no membership in any of the chinese national academies,English
for decades she didnt give up and she helped save millions of lives as a result her story is a brilliant example of how important hard work can be in achieving success,English
just a minute ago it seemed reasonable that the ovarian lottery determined most of your success in life but the idea that hard work matters feels just as reasonable,English
when you work hard you typically get better results than you would with less effort,English
while we cant deny the importance of luck everyone seems to have this sense that hard work really does make a difference,English
so what it is what determines success hard work or good fortune effort or randomness,English
i think we all understand both factors play a role but id like to give you a better answer than it depends,English
one way to answer this question is to say luck matters more in an absolute sense and hard work matters more in a relative sense,English
the absolute view considers your level of success compared to everyone else what makes someone the best in the world in a particular domain,English
when viewed at this level success is nearly always attributable to luck,English
as a general rule the wilder the success the more extreme and unlikely the circumstances that caused it,English
its often a combination of the right genes the right connections the right timing and a thousand other influences that nobody is wise enough to predict,English
then there is the relative view which considers your level of success compared to those similar to you,English
what about the millions of people who received similar levels of education grew up in similar neighborhoods or were born with similar levels of genetic talent,English
these people arent achieving the same results the more local the comparison becomes the more success is determined by hard work,English
when you compare yourself to those who have experienced similar levels of luck the difference is in your habits and choices,English
absolute success is luck relative success is choices and habits,English
as outcomes become more extreme the role of luck increases,English
that is as you become more successful in an absolute sense we can attribute a greater proportion of your success to luck,English
sometimes people have trouble simultaneously holding both of these insights,English
there is a tendency to discuss outcomes in either a global sense or a local sense,English
the absolute view is more global,English
what explains the difference between a wealthy person born in america and someone born into extreme poverty and living on less than per day,English
when discussing success from this angle people say things like how can you not see your privilege,English
the relative view is more local what explains the difference in results between you and everyone who went to the same school or grew up in the same neighborhood or worked for the same company,English
when considering success from a local viewpoint people say things like are you kidding me,English
do you know hard i worked do you understand the choices and sacrifices i made that others didnt,English
dismissing my success as luck devalues the hard work i put in if my success is due to luck or my environment then how come my neighbors or classmates or coworkers didnt achieve the same thing,English
both stories are true it just depends on what lens you are viewing life through,English
there is another way to examine the balance between luck and hard work which is to consider how success is influenced across time,English
imagine you can map success on a graph success is measured on the yaxis time is measured on the xaxis,English
and when you are born the ball you pluck out of buffetts ovarian lottery determines the yintercept,English
those who are born lucky start higher on the graph those who are born into tougher circumstances start lower,English
heres the key you can only control the slope of your success not your initial position,English
in atomic habits i wrote it doesnt matter how successful or unsuccessful you are right now,English
what matters is whether your habits are putting you on the path toward success,English
with a positive slope and enough time and effort you may even be able to regain the ground that was lost due to bad luck,English
i thought this quote summarized it well the more time passes from the start of a race the less the headstart others got matters,English
this is not always true of course a severe illness can wipe out your health,English
a collapsing pension fund can ruin your retirement savings similarly sometimes luck delivers a sustained advantage or disadvantage,English
in fact one study found that if success is measured by wealth then the most successful people are almost certainly those with moderate talent and remarkable luck,English
in any case it is impossible to divorce the two they both matter and hard work often plays a more important role as time goes on,English
this is true not only for overcoming bad luck but also for capitalizing on good luck,English
time erodes every advantage at some point good luck requires hard work if success is to be sustained,English
by definition luck is out of your control even so it is useful to understand the role it plays and how it works so you can prepare for when fortune or misfortune comes your way,English
the prepared mind sooner or later finds something important and does it so yes it is luck,English
the particular thing you do is luck but that you do something is not,English
you can increase your surface area for good luck by taking action,English
similarly the person who works hard pursues opportunity and tries more things is more likely to stumble across a lucky break than the person who waits,English
in the end we cannot control our luckgood or badbut we can control our effort and preparation,English
luck smiles on us all from time to time and when it does the way to honor your good fortune is to work hard and make the most of it,English
thanks for reading you can get more actionable ideas in my popular email newsletter,English
and he also said that the ministry of health should vaccinate two hundred and twentyseven thousand teachers who will administer national exams,English
he has urged the security officers to do their utmost to ensure that the coronavirus infection rate in the country decreases,English
it is much easier to focus on something thats working than struggle along with a bad idea,English
you should be far more concerned with your current trajectory than with your current results,English
and those rules are going to prevail for your lifetime and your childrens lifetime and your grandchildrens lifetime,English
the thought of straining the relationship outweighs the commitment of our time and energy,English
the forager who explores widely will find lots of useless terrain but is also more likely to stumble across a bountiful berry patch than the person who stays home,English
even if you make a good initial choicelike bill gates choosing to start a computer companyyou cant understand all of the factors that cause worldclass outcomes,English
do we continue trying new things or do we double down on one strategy,English
akizungumza mbele ya kamati ya sheria na haki kwenye seneti leo mchana tuju alisema kuwa kupitishwa kwa mageuzi na sheria itasaidia sana katika kutatua changamoto ambazo kenya imekuwa nayo kwa muda mrefu,Kiswahili
tuju alisema kuwa makubaliano baina ya raila na uhuru imesaidia sana kuleta amani humu nchini hasa baada ya vurugu vilivyokuwemo baada ya uchaguzi,Kiswahili
sheria za humu nchini zimetofautiana sana na makubaliano hayo ikisemekana kuwa wananchi hawakuhusishwa kwa kuulizwa maoni yao,Kiswahili
alipeana maoni yake kwa kamati ya sheria na haki katika bunge la taifa leo hii,Kiswahili
havi alisema kuwa kufanya mageuzi kwa sheria huenda ikatofautiana na baadhi ya sheria za humu nchini,Kiswahili
havi ameiambia kamati hiyo kuwa mpango wa bbi wa kuteua mawaziri kutoka bungeni unaenda kinyume na katiba iliyopitishwa na wananchi mwaka wa,Kiswahili
hata hivyo havi alipata kama maoni yao kama tume ya sheria nchini lsk bado maoni yao hayakuwa yamewekwa katika ripoti hiyo,Kiswahili
mchekeshaji maarufu humu nchini eric omondi amekamatwa leo,Kiswahili
omondi alikamatwa baada ya utafiti na maafisa wa polisi pamoja na bodi ya filamu nchini kuhusiana na video fulani mtandaoni,Kiswahili
mutua ambaye ni mwenyekiti wa filamu nchini alisema kuwa mvchezo huo wa wife material unaenda kinyume na sheria,Kiswahili
sheria zilizoundwa katika mwaka wa ambazo zinasema kuwa filamu zote lazima ziangaliwe na bodi hiyo kabla ya kuweka mtandaoni,Kiswahili
mutua alisema kuwa watafanya yote wawezayo ili kuhakikisha kuwa watu wote wanaoweka video mtandaoni ziwevideo sawa,Kiswahili
anatarajiwa kufikishwa mahakamani leo katika awamu ya kwanza,Kiswahili
kibochi amewaambia maafisa hao wa usalama kutotega masikio kwa uvumi ambao unaendelezwa kuhusiana na chanjo hiyo,Kiswahili
amewasihi maafisa hao wa usalama kufanya wawezayo kuhakikisha kuwa virusi vya korona vinapungua humu nchini,Kiswahili
amesema kuwa wanawategea walimu walio katika shule za serikali na shule za kibinafsi katika awamu ya kwanza ya kupeana chanjo,Kiswahili
amesema kuwa wizara ya elimu sasa hivi ina walimu elfu kumi na tano walio na zaidi ya umri wa miaka hamsini na nane vilevile amesema wizara ya afya inafaa kuwapa chanjo walimu elfu mia mbili ishirini na saba ambao watasimamia mitihani ya kitaifa,Kiswahili
amesema kuwa walimu hao wanafaa kupewa kipaumbele katika chanjo hiyo dhidi ya korona,Kiswahili
leo hii korti ilipuuzilia mbali wazo la kuwakataza mashahidi zaidi kupeana ushuhuda wao katika kesi hiyo,Kiswahili
deya alitaka korti hiyo iwanyime nafasi mashahidi walio katika nchi za nje,Kiswahili
hata hivyo jaji francis andayi amewaagza mawakili kuhakikisha kuwa mashahidi ambaohawajafika kortini kutoa ushuhuda wao wafike,Kiswahili
jaji andayi amesema kuwa kesi hiyo ilisimamishwa mwezi wa nne mwaka uliopita kutokana virusi vya korona ambayo ilizuia usafiri pamoja na kazi za mahakama,Kiswahili
hata hivyo mawakili hao hawajaiambia mahakama kama mashahidi hao ambao wengi wao walikwisha staafu wataweza kufika kortini,Kiswahili
watoto watano wanaotoka kwenye mtaa wa mountain view jijini nairobi wamepotea,Kiswahili
msajili wa vyama vya kisiasa humu nchini ndiye ametoa sheria hiyo,Kiswahili
amesema kuwa vyama vya kisiasa vilishakubaliana na kutia sahihi kuzingatia sheria zote za uchaguzi humu nchini uchaguzi wa unapokaribia,Kiswahili
amepeana mifano na vurugu ambavyo vilishuhudiwa katika chaguzi ndogo humu nchini,Kiswahili
katika ripoti ya nderitu kwa vyombo vya habari jioni ya leo alisema kuwa vyama hivyo vinafaa kuwadhibiti wafuasi wao pamoja na wawaniaji viti kupitia vyama hivyo,Kiswahili
profesa nyongo alizungumza jijini kisumu alipokuwa akipokea chanjo,Kiswahili
alisema kuwa viongozi lazima wawe katika hatua ya mbele ndiposa wananchi wawe na imani na chanjo hiyo,Kiswahili
wambora alisema kuwa hiyo kesho atapokea chanjo hiyo ishara ya kuwa chanjo hiyo ni salama,Kiswahili
nyongo alisema kuwa wahudumu wa afya wanawalenga watuelfu mbili kufikia mwisho wa wiki hii lakini idadi ya wanaoenda kupokea chanjo hiyo ni ndogo sana,Kiswahili
amesema kuwa alichukua hatua hiyo kupokea chanjo ili awape motisha wananchi wengi ili wafike kupokea chanjo hiyo,Kiswahili
mtu mmoja mwenye umri wa miaka ishirini na nne amekata mkono wa nduguye kwa panga katika kitongoji cha kanyabanderachuonyo mashariki,Kiswahili
denis otieno mwenye umri wa miaka thelathini na moja alivamiwa na ndugu yake kutokana na yeye kutumia sabuni yake bila kumwomba,Kiswahili
mja huyo kwa jina ochieng adier alimvamia nduguye katika boma lake na kuukata mkono wake na kuuangusha chini kwa panga,Kiswahili
ochieng ambaye alimkata nduguye hadi sasa haijulikani aliko huku ndyguye akipokea matibabu katika hospitali ya matat mjini oyugis,Kiswahili
hii ni ripoti iliyotolewa na uongozi wa mtaa huo,Kiswahili
kiongozi wa upinzani nchini tanzania tundu lissu ameshtumiwa vikali kutokana na matamshi yake ya hivi karibuni,Kiswahili
katibu katika wizara ya afya mercy mwangagi amesema kuwa kenya inatarajia chanjo zaidi dhidi ya virusi vya korona,Kiswahili
alizungumza mbeleya kamati ya afya bungeni,Kiswahili
amesema kuwa mzigo wa kwanza wa chanjo hiyo inaweza kufika humu nchini muda wowote kutokea sasa,Kiswahili
wanasiasa wanaoleta vurugu katika maeneo ambayo hawatoki wamekashifiwa,Kiswahili
mbunge wa kikuyu kimanu ichungwa amesema kuwa wanasiasa hawafai kuruhusiwa kusimamia uchaguzi katika maeneo ambayo hawatoki,Kiswahili
hii ni kutokana na vurugu vilivyoshuhudwa kabuchai na matungu katika chaguzi ndogo zilizoshuhudiwa,Kiswahili
kwa upande wake mbunge wa suna mashariki junet mohammed amesema kuwa wanasiasa wanafaa wawache vurugu kwa vile inarudisha kenya nyuma,Kiswahili
walikuwa wakizungumza katika kituo kimoja cha habari humu nchini,Kiswahili
mahakama imeshtumiwa kwa kuwa na moyo wa huruma kwawanaoharibu sheria za humu nchini,Kiswahili
daktari matiangi amesema kuwa ni jambo la kusikitisha kuwa wizara yake inafanya juu chini kuwakamata wanasiasa wanaovunja sheria kisha korti inawawachilia tu kwa dhamana ya chini,Kiswahili
alisema haya katika hafla fulani jijini nairobi ambayo inachunguza tabia kama hizo hasa uchaguzi mkuu wa unapokaribia,Kiswahili
bunge limeidhinisha biashara baina ya kenya na uingereza,Kiswahili
makubaliano hayo ya kibiashara yatatumia bilioni mia mbili katika kuhakikisha kuwa uchumi unaimarika humu nchini wakati huu wa kipindi cha korona,Kiswahili
makubaliano hayo yalitiwa saini mwaka uliopita,Kiswahili
wabunge wamesema kuwa mkataba huo ni sawa na utaisadia sana taifa la kenya,Kiswahili
wizara ya kilimo imesema kuwa haijasimamisha mpango wa kuleta mahindi kutoka mataifa ya nje,Kiswahili
wizara hiyo hata hivyo imesema kuwa wameweka sheria kali ili kuhakikisha kuwa mahindi yanayoletwa ni salama,Kiswahili
waziri wa kilimo peter munya hata hivyo amesema kuwa hatua hiyo itasaidia kutoletwa kwa mahindi yaliyo na kemikali kama vile aflatoxin iliyopatikana kwenye mahindi kutoka uganda na tanzania,Kiswahili
hakuna malipo waliyopata hadi sasa huku wakiitaka serikali iwalipe,Kiswahili
mwaka jana kenya ilileta mahindi tani elfu arubaini na nne mia saba arubaini elfu kutoka uganda na tanzania ili kusaidia kusuluhisha tatizo la mahindi humu nchini,Kiswahili
pia wanalalamikia foleni ndefu wanazopanga ili kupata malipo hayo,Kiswahili
wanaiomba serikaliiweze kuwatolea malipokatika maeneo yaliyokaribu nao,Kiswahili
katibu katika wizara ya afya mercy mwangagi amesema kuwa kenya inatarajia chanjo zaidi dhidi ya virusi vya korona,Kiswahili
hii itasaidia kuona kuwa wakenya wengi wanapata chanjo dhidi ya korona,Kiswahili
kwa upande mwingine amewasihi wananchi kufuata hatua za kujikinga dhidi ya korona kutokana na mkurupuko wa awamu ya tatu ya korona,Kiswahili
kamishona katika kaunti hiyo bwana moses leila amesema kuwa wameweka hatua zote kuhakikisha kuwa watahiniwa watapata mazingira salama ya kufanya mtihani huo,Kiswahili
alikuwa akizungumza katika maeneo ya kabunde alipokuwa akiwahutubia wakuu katika sekta ya elimu,Kiswahili
amewasihi wasimamizi wa mitihani kuhakikisha kuwa sheria zote zinafuatwa huku akisema wale ambao hawasimamii mitihani hawataruhusiwa maeneo hayo,Kiswahili
aliyekuwa rais wa somalia ali mahdi amefariki katika kituo kimoja cha afya kijijini nairobi,Kiswahili
kulingana na ripoti ya kituo cha sauti ya marekani rais ahdi alikuwa na virusi vya korona,Kiswahili
alikuwa rais wa nne wa somalia baada ya kuchaguliwa mwezi wa kwanza mwaka wa,Kiswahili
ameendelea kumpigia debe naibu wa rais william ruto akiwasihi wannchi wa huko kumuunga mkono ruto,Kiswahili
hii inafanyika wakati ambapo wanasiasa wa humu nchini wameshauriwa kusitisha kampeni zao,Kiswahili
william ruto ameendelea kuisifu serikali kwa vita vya kujenga daraja huko budalangi kama njia mojawapo ya kuwajali wananchi,Kiswahili
akizungumza katika shule ya msingi ya port victoria ruto amesema kuwa ataendelea kufanya kazi na waendeshaji bodaboda katika kaunti hiyo,Kiswahili
ruton alisema hayo akiwa busia huku mbunge caleb kositany akiendelea kukashifu ukaribu wa raila na uhuru,Kiswahili
amesema kuwa makubaliano baina ya raila na uhuru imewagawa zaidi wakenya,Kiswahili
kositany ameendelea kumkashifu raila kwa kukosa kuwaomba msamaha wananchi kutokana na uchaguzi wa,Kiswahili
