Text,Language
There was even another car that appeared to make the left turn as you were going straight. The truck surely saw that and didn't even try to stop!,English
The left turn guy would have had a head on collision if he was any slower.,English
And he also hit another vehicle ,English
I’m sorry about your car. ,English
I’m in love with your wife. ,English
They have the chance to do the funniest thing ever ,English
Put it right next to your award for Times Person of the Year 2006 ,English
"I have never seen such a coming together of my local community, and it makes me so happy that it is for such a noble cause. ",English
I'm especially proud of how you've all held your ground without dangerous escalations of violence. ,English
What it really means to be a Patriot.,English
"This is what I say when people joke about moving to Canada. They want us out of the way, not voting against them.",English
his is the biggest wake up call the people of this country are ever going to have. The moment is now.,English
I've seen the same things happening in my small town over an hour from the cities! So many people are standing up for other humans they've never met before. ,English
Well at least they won't turn around and give it to Trump. ,English
This would be the best thing to happen in a long time,English
The irony is they wouldn’t have gotten the nomination if it weren’t for Trump. ,English
Do you really know everything that happens during your agent runs? Observability has been the biggest pain point for me ,English
"since I started automating part of my life with agents. Sometimes a 1-hour run doesn’t produce the result I expected, and I need to figure out why.",English
"Other times everything seems fine until I discover some weird side effect, like the time Claude tried to “fix” performance issues on my machine and somehow shut down important services (see the video ). ",English
Most of the time debugging these runs just means scrolling through logs or transcripts and trying to reconstruct what actually happened,English
"As the first use case, we built a hook-based integration with Claude Code, but the goal is to make it work with any agent you can think of.",English
Right now I’m mostly curious how others deal with this problem. ,English
"On paper, the frameworks look impressive. There are strategies, committees, task forces and maybe even a PowerPoint somewhere with arrows and flowcharts.",English
In real life? The system often runs on vibes and the hope that the weather might change its mind. ,English
"After last weekend’s deaths and destruction caused by previously predicted rains in Nairobi, it’s painfully obvious that this unpreparedness strategy is not working.",English
Our disaster response model often seems to follow a four-step process:,English
Wait for disaster; act surprised; blame the victims; hold a press conference promising to do better next time. ,English
"Until and unless we change how we do things, we can expect the same story to repeat every time.",English
"From my time there, I remember that when bad weather was predicted, Cape Town’s disaster management teams would swing into action before the chaos began. ",English
"They would clear storm drains and rivers, distribute sandbags in flood-prone areas, warn residents in informal settlements and advise them on digging diversion trenches, and trim trees to prevent storm damage. ",English
A truly revolutionary concept. Just imagine if we tried it.,English
"But first, a quick disclaimer. Anyone who knows me will tell you I am not what you’d call a fitness influencer. My exercise routine is simple: I walk every day. ",English
"Over the years, I have attempted jogging several times, but the older I got, the more my body began quoting a lyric from Englishman in New York by Sting, released in 1987.",English
"Also, my knees are basically two expired shock absorbers from a 1989 Toyota.",English
"In theory, I suppose I could get into cycling. In practice, the “entry requirement” appears to be a very expensive bicycle and a wardrobe made entirely of tight Lycra.",English
"I may have reached the age where I shouldn’t care what people think. But I’m vain, so I do care. The body I currently inhabit is not exactly what the cycling industry had in mind when they invented those outfits.",English
"Last week, he walked into the provincial legislature wearing his full cycling kit. By this I mean loud, brightly coloured cycling shorts, jersey, glowing pink socks and, because rules are rules, a formal suit jacket on top.",English
This happened right as the provincial finance minister was about to present the Municipal Economic Review and Outlook. ,English
"In a statement released by the hospital on Thursday, doctors said the opposition leader collapsed during a morning walk at around 8:30 a.m.",English
"The hospital said Mr. Odinga, 80, had been under treatment for diabetes, hypertension, and chronic kidney disease. ",English
A post-mortem examination is set to be conducted as part of routine medical and legal procedures.,English
"According to Mathrubhumi.com, an Indian media outlet, Raila was at the Ayurvedic centre for rest and recovery following a mild stroke he suffered while in Kenya. ",English
A spokesperson for the hospital confirmed that he had been receiving regular care and was in the company of his family at the time.,English
"The same hospital had previously treated his daughter, Rosemary Odinga, who regained her sight there after losing vision several years ago.",English
"Before his passing, Raila’s health had been the subject of public speculation.",English
"His elder brother, Senator Oburu Odinga, had recently assured Kenyans that Raila was recuperating well in India and dismissed reports that he was in critical condition.",English
"“I want to tell you that Raila is up and about. Just like any other human being, he was indisposed a little and is now recuperating and resting,” Oburu said last week.",English
"Despite occasional hospital visits, including brain fluid drainage surgery in Dubai and minor back surgery years ago,",English
"As tributes pour in from across the world, Raila Odinga is being remembered as a symbol of resistance, reform, and democracy",English
Public servants will soon be allowed to use the state-backed loans to buy commercial vehicles and motorcycles  in proposed National Treasury reforms.,English
The new plan aims at improving loan uptake for the struggling state Motor Car Loan Scheme Fund.,English
"Appearing before the committee on Delegated Legislation chaired by Samuel Chepkonga, Mbadi said the reforms are designed to make the facility attractive and accessible to more public servants.",English
The changes will be done through amendments to the State Officers and Public Officers Motor Car Loan Scheme Fund Regulations of 2025.,English
"“The low uptake of motor car loans remains a major concern and impediment to the delivery of the objective of the Fund,” Mbadi told the committee.",English
"The low absorption of loans threatens the very existence of the Fund, which was established to enable state officers and public officers to access affordable credit for the purchase of motor vehicles and raises concerns about its sustainability,” Mbadi said.",English
Treasury says a review of the scheme identified several regulatory provisions that may have discouraged potential borrowers.,English
"Currently, the regulations prohibit beneficiaries from using vehicles acquired under the scheme for commercial purposes.",English
"The amendment proposes to remove this restriction, allowing officers to use the vehicles for income-generating activities.",English
The proposed regulations also seek to increase the allowable age of second-hand vehicles purchased through the scheme from eight years to ten years from the date of manufacture.,English
Treasury argues that the change will give borrowers access to a wider range of vehicles at more affordable prices.,English
The expansion of eligible vehicles to include motorcycles was particularly supported in areas where motorcycles are the dominant mode of transport.,English
"Officials cited regions such as Lamu, where road infrastructure and terrain make motorcycles more practical than conventional cars.",English
I have a different perspective on this.,English
This is just a simple way of saying you finished the job you had.,English
It was nice chatting with you.,English
"I’m sorry to cut you off, but I actually gotta run",English
Would you happen to know,English
"I’ve been wondering that, too.",English
I’ve never given it much thought.,English
I don’t have strong feelings either way.,English
It doesn’t make any difference to me.,English
I’m not so sure about that.,English
I’m so sorry to hear that.,English
Let me check my calendar,English
Can I get you something to eat,English
I’m not a huge fan of,English
 I’m between jobs at the moment.,English
We’re getting married in June,English
I’m not looking for anything serious.,English
Would you mind repeating that?,English
Do you understand what I’m saying?,English
Could you spare a couple minutes?,English
Would you like a window seat or an aisle seat?,English
I agree with you. That sounds like a good idea.,English
"I see your point, but I have a different opinion.",English
Please forgive me for forgetting your birthday.,English
I'm so sorry for any inconvenience I caused,English
"I deeply regret my actions, and I'm genuinely sorry.",English
I don't understand this; can you explain it to me?,English
I'm stuck on this project; can you offer some advice?,English
Recycling is important to help the environment.,English
My brother is my best friend; we do everything together.,English
I love spending time with my cousins during the holidays.,English
I often go fishing with my friends on weekends.,English
My hobby is collecting stamps from different countries.,English
Would you be interested in trying that new restaurant downtown?,English
Watching English movies with subtitles is helping me improve.,English
I want to expand my vocabulary in English; any tips for that?,English
Is it possible to arrange a doctor's appointment for next week?,English
I'd like to make a reservation for a table at your restaurant.,English
I find it challenging to approach someone I'm interested in.,English
Thanks a lot for your help; I really appreciate it.,English
I want to say thank you for the lovely gift you gave me.,English
"I won't lie, at times I've worried that the resistance wasn't proactive or extreme enough given the circumstances, but you've all really given me hope that collective nonviolence can still be the right path forwar",English
The genie says you can determine the rules of the society you are about to enter and you can design anything you want.,English
"You get to design the social rules, the economic rules, the governmental rules.",English
"You don't know whether you're going to be born rich or poor, male or female, infirm or able-bodied, in the United States or Afghanistan.",English
All you know is that you get to take one ball out of a barrel with 5.8 billion balls in it. And that's you,English
"In other words,” Buffett continues, “you're going to participate in what I call the Ovarian Lottery.",English
"And that is the most important thing that's ever going to happen to you in your life. It's going to determine way more than what school you go to, how hard you work, all kinds of things.”",English
"When explained in this way, it seems hard to deny the importance of luck, randomness, and good fortune in life. ",English
"And indeed, these factors play a critical role. But let's consider a second story.",English
She read manuals about old folk remedies. She searched through ancient texts that were hundreds or thousands of years old. ,English
She traveled to remote regions in search of plants that might contain a cure.,English
"This was the most challenging stage of the project,” she said.",English
"It was a very laborious and tedious job, in particular when you faced one failure after another.",English
"Her team had already been at work for two years, but she decided they needed to start again from the beginning. ",English
"The issue was heat. If the temperature was too high during the extraction process, the active ingredient in the sweet wormwood plant would be destroyed",English
"It was a huge breakthrough, but the real work was just beginning.",English
"With a proven medication in hand, it was now time for human trials.",English
"And due to the secrecy of the project, going to a facility outside of the country was out of the question.",English
"In one of the boldest moves in the history of medical science, she and two other members of Project 523 infected themselves with malaria and received the first doses of their new drug.",English
It worked.,English
"However, despite her discovery of a breakthrough medication and her willingness to put her own life on the line",English
"She was undeterred. Tu continued her research, eventually learning the chemical structure of the drug—a compound officially known as artemisinin—and going on to develop a second antimalarial medication as well.",English
"Today, the artemisinin treatment has been administered over 1 billion times to malaria patients. It is believed to have saved millions of lives. ",English
"My favorite fact about her is that she has no postgraduate degree, no research experience abroad, and no membership in any of the Chinese national academies",English
For decades she didn't give up and she helped save millions of lives as a result. Her story is a brilliant example of how important hard work can be in achieving success.,English
"Just a minute ago, it seemed reasonable that the Ovarian Lottery determined most of your success in life, but the idea that hard work matters feels just as reasonable.",English
When you work hard you typically get better results than you would with less effort.,English
"While we can't deny the importance of luck, everyone seems to have this sense that hard work really does make a difference.",English
So what it is? What determines success? Hard work or good fortune? Effort or randomness,English
"I think we all understand both factors play a role, but I'd like to give you a better answer than “It depends.”",English
One way to answer this question is to say: Luck matters more in an absolute sense and hard work matters more in a relative sense.,English
The absolute view considers your level of success compared to everyone else. What makes someone the best in the world in a particular domain? ,English
"When viewed at this level, success is nearly always attributable to luck. ",English
"As a general rule, the wilder the success, the more extreme and unlikely the circumstances that caused it. ",English
"It's often a combination of the right genes, the right connections, the right timing, and a thousand other influences that nobody is wise enough to predict.",English
"Then there is the relative view, which considers your level of success compared to those similar to you. ",English
"What about the millions of people who received similar levels of education, grew up in similar neighborhoods, or were born with similar levels of genetic talent?",English
"These people aren't achieving the same results. The more local the comparison becomes, the more success is determined by hard work. ",English
"When you compare yourself to those who have experienced similar levels of luck, the difference is in your habits and choices.",English
Absolute success is luck. Relative success is choices and habits.,English
"As outcomes become more extreme, the role of luck increases. ",English
"That is, as you become more successful in an absolute sense, we can attribute a greater proportion of your success to luck.",English
Sometimes people have trouble simultaneously holding both of these insights.,English
There is a tendency to discuss outcomes in either a global sense or a local sense.,English
The absolute view is more global. ,English
What explains the difference between a wealthy person born in America and someone born into extreme poverty and living on less than $1 per day?,English
"When discussing success from this angle, people say things like, “How can you not see your privilege? ",English
The relative view is more local. What explains the difference in results between you and everyone who went to the same school or grew up in the same neighborhood or worked for the same company?,English
"When considering success from a local viewpoint, people say things like, “Are you kidding me? ",English
Do you know hard I worked? Do you understand the choices and sacrifices I made that others didn’t? ,English
"Dismissing my success as luck devalues the hard work I put in. If my success is due to luck or my environment, then how come my neighbors or classmates or coworkers didn’t achieve the same thing?”",English
Both stories are true. It just depends on what lens you are viewing life through.,English
"There is another way to examine the balance between luck and hard work, which is to consider how success is influenced across time.",English
Imagine you can map success on a graph. Success is measured on the Y-axis. Time is measured on the X-axis.,English
"And when you are born, the ball you pluck out of Buffett's Ovarian Lottery determines the y-intercept.",English
Those who are born lucky start higher on the graph. Those who are born into tougher circumstances start lower.,English
"Here's the key: You can only control the slope of your success, not your initial position.",English
"In Atomic Habits, I wrote, “It doesn’t matter how successful or unsuccessful you are right now. ",English
What matters is whether your habits are putting you on the path toward success. ,English
"With a positive slope and enough time and effort, you may even be able to regain the ground that was lost due to bad luck. ",English
"I thought this quote summarized it well: “The more time passes from the start of a race, the less the head-start others got matters.”",English
"This is not always true, of course. A severe illness can wipe out your health. ",English
". A collapsing pension fund can ruin your retirement savings. Similarly, sometimes luck delivers a sustained advantage (or disadvantage).",English
"In fact, one study found that, if success is measured by wealth, then the most successful people are almost certainly those with moderate talent and remarkable luck.  ",English
"In any case, it is impossible to divorce the two. They both matter and hard work often plays a more important role as time goes on.",English
"This is true not only for overcoming bad luck, but also for capitalizing on good luck. ",English
"Time erodes every advantage.   At some point, good luck requires hard work if success is to be sustained.",English
"By definition, luck is out of your control. Even so, it is useful to understand the role it plays and how it works so you can prepare for when fortune (or misfortune) comes your way.",English
"The prepared mind sooner or later finds something important and does it. So yes, it is luck. ",English
"The particular thing you do is luck, but that you do something is not.”  ",English
You can increase your surface area for good luck by taking action.   ,English
"Similarly, the person who works hard, pursues opportunity, and tries more things is more likely to stumble across a lucky break than the person who waits",English
"In the end, we cannot control our luck—good or bad—but we can control our effort and preparation.",English
"Luck smiles on us all from time to time. And when it does, the way to honor your good fortune is to work hard and make the most of it.",English
Thanks for reading. You can get more actionable ideas in my popular email newsletter. ,English
and he also said that the Ministry of Health should vaccinate two hundred and twenty-seven thousand teachers who will administer national exams.",English
He has urged the security officers to do their utmost to ensure that the coronavirus infection rate in the country decreases.,English
 It is much easier to focus on something that's working than struggle along with a bad idea.,English
You should be far more concerned with your current trajectory than with your current results.”,English
 And those rules are going to prevail for your lifetime and your children's lifetime and your grandchildren's lifetime.,English
The thought of straining the relationship outweighs the commitment of our time and energy.,English
"The forager who explores widely will find lots of useless terrain, but is also more likely to stumble across a bountiful berry patch than the person who stays home. ",English
Even if you make a good initial choice—like Bill Gates choosing to start a computer company—you can’t understand all of the factors that cause world-class outcomes.,English
Do we continue trying new things or do we double down on one strategy?,English
Akizungumza mbele ya kamati ya sheria na haki kwenye seneti leo mchana Tuju alisema kuwa kupitishwa kwa mageuzi na sheria itasaidia sana katika kutatua changamoto ambazo Kenya imekuwa nayo kwa muda mrefu,Kiswahili
Tuju alisema kuwa makubaliano baina ya Raila na Uhuru imesaidia sana kuleta amani humu nchini hasa baada ya vurugu vilivyokuwemo baada ya uchaguzi,Kiswahili
Sheria za humu nchini zimetofautiana sana na makubaliano hayo ikisemekana kuwa wananchi hawakuhusishwa kwa kuulizwa maoni yao,Kiswahili
Alipeana maoni yake kwa kamati ya sheria na haki katika bunge la taifa leo hii,Kiswahili
Havi alisema kuwa kufanya mageuzi kwa sheria huenda ikatofautiana na baadhi ya sheria za humu nchini,Kiswahili
Havi ameiambia kamati hiyo kuwa mpango wa BBI wa kuteua mawaziri kutoka bungeni unaenda kinyume na katiba iliyopitishwa na wananchi mwaka wa 2010,Kiswahili
Hata hivyo Havi alipata kama maoni yao kama tume ya sheria nchini LSK bado maoni yao hayakuwa yamewekwa katika ripoti hiyo,Kiswahili
Mchekeshaji maarufu humu nchini Eric Omondi amekamatwa leo,Kiswahili
Omondi alikamatwa baada ya utafiti na maafisa wa polisi pamoja na bodi ya filamu nchini kuhusiana na video fulani mtandaoni,Kiswahili
Mutua ambaye ni mwenyekiti wa filamu nchini alisema kuwa mvchezo huo wa WIFE MATERIAL unaenda kinyume na sheria,Kiswahili
Sheria zilizoundwa katika mwaka wa 2014 ambazo zinasema kuwa filamu zote lazima ziangaliwe na bodi hiyo kabla ya kuweka mtandaoni,Kiswahili
Mutua alisema kuwa watafanya yote wawezayo ili kuhakikisha kuwa watu wote wanaoweka video mtandaoni ziwevideo sawa,Kiswahili
Anatarajiwa kufikishwa mahakamani leo katika awamu ya kwanza,Kiswahili
Kibochi amewaambia maafisa hao wa usalama kutotega masikio kwa uvumi ambao unaendelezwa kuhusiana na chanjo hiyo,Kiswahili
Amewasihi maafisa hao wa usalama kufanya wawezayo kuhakikisha kuwa virusi vya korona vinapungua humu nchini,Kiswahili
Amesema kuwa wanawategea walimu walio katika shule za serikali na shule za kibinafsi katika awamu ya kwanza ya kupeana chanjo,Kiswahili
"""Amesema kuwa wizara ya elimu sasa hivi ina walimu elfu kumi na tano walio na zaidi ya umri wa miaka hamsini na nane, vilevile amesema wizara ya afya inafaa kuwapa chanjo walimu elfu mia mbili ishirini na saba ambao watasimamia mitihani ya kitaifa""",Kiswahili
Amesema kuwa walimu hao wanafaa kupewa kipaumbele katika chanjo hiyo dhidi ya korona,Kiswahili
Leo hii korti ilipuuzilia mbali wazo la kuwakataza mashahidi zaidi kupeana ushuhuda wao katika kesi hiyo,Kiswahili
Deya alitaka korti hiyo iwanyime nafasi mashahidi walio katika nchi za nje,Kiswahili
Hata hivyo jaji Francis Andayi amewaagza mawakili kuhakikisha kuwa mashahidi ambaohawajafika kortini kutoa ushuhuda wao wafike,Kiswahili
Jaji Andayi amesema kuwa kesi hiyo ilisimamishwa mwezi wa nne mwaka uliopita kutokana virusi vya korona ambayo ilizuia usafiri pamoja na kazi za mahakama,Kiswahili
Hata hivyo mawakili hao hawajaiambia mahakama kama mashahidi hao ambao wengi wao walikwisha staafu wataweza kufika kortini,Kiswahili
Watoto watano wanaotoka kwenye mtaa wa Mountain View jijini Nairobi wamepotea,Kiswahili
Msajili wa vyama vya kisiasa humu nchini ndiye ametoa sheria hiyo,Kiswahili
Amesema kuwa vyama vya kisiasa vilishakubaliana na kutia sahihi kuzingatia sheria zote za uchaguzi humu nchini uchaguzi wa 2022 unapokaribia,Kiswahili
Amepeana mifano na vurugu ambavyo vilishuhudiwa katika chaguzi ndogo humu nchini,Kiswahili
Katika ripoti ya Nderitu kwa vyombo vya habari jioni ya leo alisema kuwa vyama hivyo vinafaa kuwadhibiti wafuasi wao pamoja na wawaniaji viti kupitia vyama hivyo,Kiswahili
Profesa Nyong`o alizungumza jijini Kisumu alipokuwa akipokea chanjo,Kiswahili
Alisema kuwa viongozi lazima wawe katika hatua ya mbele ndiposa wananchi wawe na imani na chanjo hiyo,Kiswahili
Wambora alisema kuwa hiyo kesho atapokea chanjo hiyo ishara ya kuwa chanjo hiyo ni salama,Kiswahili
Nyong`o alisema kuwa wahudumu wa afya wanawalenga watuelfu mbili kufikia mwisho wa wiki hii lakini idadi ya wanaoenda kupokea chanjo hiyo ni ndogo sana,Kiswahili
Amesema kuwa alichukua hatua hiyo kupokea chanjo ili awape motisha wananchi wengi ili wafike kupokea chanjo hiyo,Kiswahili
"""Mtu mmoja mwenye umri wa miaka ishirini na nne amekata mkono wa nduguye kwa panga katika kitongoji cha Kanyabande,Rachuonyo Mashariki""",Kiswahili
Denis Otieno mwenye umri wa miaka thelathini na moja alivamiwa na ndugu yake kutokana na yeye kutumia sabuni yake bila kumwomba,Kiswahili
Mja huyo kwa jina Ochieng` Adier alimvamia nduguye katika boma lake na kuukata mkono wake na kuuangusha chini kwa panga,Kiswahili
Ochieng` ambaye alimkata nduguye hadi sasa haijulikani aliko huku ndyguye akipokea matibabu katika hospitali ya Matat mjini Oyugis,Kiswahili
Hii ni ripoti iliyotolewa na uongozi wa mtaa huo,Kiswahili
Kiongozi wa upinzani nchini Tanzania Tundu Lissu ameshtumiwa vikali kutokana na matamshi yake ya hivi karibuni,Kiswahili
"Katibu katika wizara ya afya Mercy Mwangagi amesema kuwa Kenya inatarajia chanjo zaidi dhidi ya virusi vya korona,",Kiswahili
Alizungumza mbeleya kamati ya afya bungeni,Kiswahili
Amesema kuwa mzigo wa kwanza wa chanjo hiyo inaweza kufika humu nchini muda wowote kutokea sasa,Kiswahili
Wanasiasa wanaoleta vurugu katika maeneo ambayo hawatoki wamekashifiwa.,Kiswahili
Mbunge wa Kikuyu Kimanu Ichungwa amesema kuwa wanasiasa hawafai kuruhusiwa kusimamia uchaguzi katika maeneo ambayo hawatoki,Kiswahili
Hii ni kutokana na vurugu vilivyoshuhudwa Kabuchai na Matungu katika chaguzi ndogo zilizoshuhudiwa,Kiswahili
Kwa upande wake mbunge wa Suna Mashariki Junet Mohammed amesema kuwa wanasiasa wanafaa wawache vurugu kwa vile inarudisha Kenya nyuma,Kiswahili
Walikuwa wakizungumza katika kituo kimoja cha habari humu nchini,Kiswahili
"Mahakama imeshtumiwa kwa kuwa na moyo wa huruma kwawanaoharibu sheria za humu nchini,",Kiswahili
Daktari Matiang`I amesema kuwa ni jambo la kusikitisha kuwa wizara yake inafanya juu chini kuwakamata wanasiasa wanaovunja sheria kisha korti inawawachilia tu kwa dhamana ya chini,Kiswahili
"Alisema haya katika hafla fulani jijini Nairobi ambayo inachunguza tabia kama hizo hasa uchaguzi mkuu wa 2022 unapokaribia,",Kiswahili
Bunge limeidhinisha biashara baina ya Kenya na Uingereza,Kiswahili
Makubaliano hayo ya kibiashara yatatumia bilioni mia mbili katika kuhakikisha kuwa uchumi unaimarika humu nchini wakati huu wa kipindi cha korona,Kiswahili
Makubaliano hayo yalitiwa saini mwaka uliopita,Kiswahili
Wabunge wamesema kuwa mkataba huo ni sawa na utaisadia sana taifa la Kenya,Kiswahili
